text,valence,arousal
"Ngerasa nggak sih? Semakin dewasa circle makin kecil, tapi makin berharga.",0.1586611270904541,-0.2145366221666336
Ngajarin orang buat sabar dan selalu fokus sama solusi bukan sama masalahnya tuh gampang gampang susah. Apalagi orangnya keras kepala,-0.2143310308456421,-0.21081191301345825
"Polisi anjing, biadab bgst setan najis iblis lu. Gw udh cape gda tenaga lg mau memaki. Tp lu bgst brengsek bgt anjing. Semoga hidup lu tersiksa dunia akhirat anjing",-0.8212487697601318,1.0274758338928223
"Cape banget hidup ni ya, udah live gbisa, pemerintah nya kek mana, skrng mau cari duit gimana coba, udah apamahal, malah pendapatan paling besar ditutup jugacapeeeeeeee",-0.7177415490150452,0.35253286361694336
hidup lagi cape cape nya malah lahir jadi wni,-0.5354336500167847,-0.5083252191543579
"semua memorinya keputer semua di otak, kalian sayang sama akuu tapi aku tetep disini sendiri hahahha anjir lucu bgt anjir hahahahha sakit bgt sakitttrrrrrrrrrr dadaku sakit bgt sialan. cape bgt dikira aku mau apa hidup kayak gini kocakkkkk mana udh 21 thn ya sekarang wkwkwk gws",-0.5536730289459229,0.633430004119873
"YaAllah kapan yaa situasi bisa tenang dan stabil kembali cape, sedih, kesel, muak, gedeg campur aduk deh ngeliat berita skrg ini gatau mau blg gmn lgiii intinyaa stay safe yaa utk semua hidup perjuangan!",-0.38850927352905273,-0.05715213716030121
cape anjir hidup selalu dibawah bayangan org lain anjir anjir,-0.5173718333244324,-0.3741278648376465
"rasanyaa udh cape sm mnet malah dibikin kayak begini, ga bs apa ya hidup damai huft",-0.6473536491394043,-0.1294737011194229
"Cape, pengen nyerah. Tapi hidup berakhir juga bukan solusi",-0.44106489419937134,-0.43262848258018494
"cape bgt nangisin hidup gabisa live tiktok, pajak naik mulu asu, gaji naik seperak pun gabisa sial mereka dengan asiknya buat keputasan naik gaji mereka yang buat mereka yang acc bjingaannnnnnnnnn",-0.7876700758934021,0.9682456254959106
ya Allah rasanya udah cape banget. gue juga udah gaada rasa pengen hidup lagi. bisa ga langsung turunin azab aja semua.,-0.8060078024864197,-0.7772653102874756
"ga cuma pemerintah, tapi orang-orang yang kenal juga pada dzolim sama aku. cape banget, soalnya aku beneran cape... kenapa ya hidup sefucked up ini, padahal ga pernah tuh kepikiran mau dzolimin orang lain, ambil hak orang lain gitu ga pernah tuh kepikiran tp kok hidupku begini...",-0.7358624339103699,0.15408965945243835
namanya juga hidup yaa pasti cape tapi CAPE BANGET BANGSATTTTT,-0.7530844211578369,0.8953320980072021
"huhu, sedih... tibatiba kepikiran. aku ga pernah mau dilahirkan di negara kek gini, aku salah apa ya sampe bisa hidup di negara yang penuh sama org dzolim kek gini... nangis bgt mikirinnya, kek kehidupan yang lebih baik itu, pasti ada kan? sampe kapan bakal begini... cape...",-0.8195762038230896,-0.6494170427322388
"Pembagian warisan dan melihat bokap dimandiin waktu itu sedih bgt. semakin cape sama dunia ini, cari apa ya? ga sedih kah bkp sdh berjuang semasa hidup, skg kayak mau balas kasih pahala supaya almarhum bisa masuk surga. Terima kasih pah, ak coba ya jd anak soleha.",-0.40244439244270325,-0.282722145318985
"hidup udah cape banget jadi WNI, malah dipimpin penjabat goblokkkkkk dongo gajelas taiiiiii",-0.7704837918281555,0.5292277336120605
"G prnh semuak ini sm hidup, cape bgt",-0.7260196805000305,-0.7608767747879028
Hidup mode survival terus gak cape apa ya.,-0.38010361790657043,-0.46625635027885437
ini hidup ngejar apasi anjing cape banget,-0.698826789855957,-0.6290137767791748
Xavibul robek robek gini demi suami laen coba ah elah cape cape hidup gini amat,-0.4911356568336487,-0.3785129189491272
lu pada cape ga sih hidup selalu another life mulu?,-0.47186532616615295,-0.3696631193161011
"Kosan hening dong. Bayangin aja nder udah capek kerja dari pagi sampe sore, malemnya hidup lu ga tenang dengerin ortu berantem. Apa ga cape lu",-0.5267366766929626,-0.20923031866550446
"aku pengen hidup langsung happy ending, cape grasak grusuk mulu",-0.3106091618537903,-0.2108001559972763
"Sakit, cape, gw cuma pengen hidup tenang",-0.3168649673461914,-0.4074612259864807
"Cape hidup, tapi mati juga ga siap",-0.7215971946716309,-0.6294339299201965
pgn meninggal aja pls cape hidup,-0.7849528193473816,-0.7903249263763428
"cape banget anjir, ngerasa ga bebas buat nikmatin hidup. MASA GUE MAU MAKAN MAKANAN YG MANIS AJA NGERASA BERSALAH BANGET SAMA KULIT GUEEE",-0.7548426985740662,-0.3942790627479553
"kok cape ya I mean, hidup.",-0.47381216287612915,-0.5074856877326965
"kirain quarter life crisis fase paling ampas di hidupku, ternyata late 20 jg sama aja ampasnya. at least dl aku punya temen deket, punya pacar, keluargaku utuh. tahun ini aku kehilangan banyak hal. masalah datang satu per satu. aku cape, aku harus hidup kaya gimana lagi.",-0.5859797596931458,0.16939681768417358
terimakasih bapak bapak sudah mau mendengarkan keluh kesah indy yg masi kicik nan bodoh ini. gabole cape ya janji harus ttp hidup lama!,0.14317110180854797,-0.3375384211540222
Gue beneran makin sini makin cape hidup,-0.5478255152702332,-0.46393781900405884
"sambil melewati tb simatupang, damn mau nangis ggr cape macet sama cape hidup l, beda tipis",-0.5731399655342102,0.05819796025753021
buset dah hidup udah cape kerjaan rumah kaga beres beres anjggg,-0.7435566186904907,0.5188578367233276
"lagi di titik burnout dan cape sama segala hal. kerja cape, jbjb di x cape, bahkan do smthing buat perut sendiri juga kaya cape banget. hidup rasanya gaada motivasi, bingung harus berjuang dan survive untuk siapa hopeless sama keadaan padahal dulu aku punya banyak rencana hidup",-0.7643117308616638,-0.7862812280654907
hidup nih ngejar apasih sebenernya? cape bgt anj,-0.7114793658256531,-0.5736666321754456
jujur cape harus mulai semuanya lagi dari awal terbiasa hidup sendiri lagi,-0.3610660433769226,-0.41454029083251953
"Kenapa cape banget ya ngadepin hidup kek gini. Udah tua bukannya makin dewasa, bijaksana, berpola pikir matang Ini malah makin tolol anjir. DEYM",-0.6990302205085754,-0.13031230866909027
"awalnya tu gw bener2 orang yg pendengar, gw dg senang hati dengerin smua ceritanya smape berjam2, gw tahan ngantuk gw. tp ceritanya selalu sama, cape kerja, muak menghidupi adik2nya. gw ngerti lo cape, tp jgn cerita setiap hari ttg kecapean lo itu, KAN GW HIDUP JG CAPE",-0.2631978690624237,0.04709245264530182
"gua tuh beneran ga ngerti, kenapa semuanya harus serumit ini, rasanya kaya hidup tuh ga pernah kasih gua ruang buat bener-bener lega. gua udah pernah ngerasain sakit ini, tapi sekarang rasanya lebih dalem, lebih nyakitin. cape banget selalu di posisi yang kalah dan salah",-0.7979204058647156,0.2845931053161621
walaupun disetiap tempat kerja pasti ada anomali tapi gue bersyukur akhirnya gue lepas dari kerjaan sekarang. cape dan nguras energi bgt. apalagi ada 1 anomali yg ya allah lu hidup nyusahin orng bgt,-0.3122268617153168,-0.18116505444049835
"berkali kali berdoa buat minta dicabut nyawa, tapi kenapa masih dikasih hidup? aku cape ya Allah",-0.8032633662223816,-0.7361972332000732
"Cape bgt gue breakout mulu dh ya Allah knp si Gula udh dikurangin, olahraga juga, coklat udh bener bener dicut...STRESS? KARENA STRES? CARANYA GMB BIAR G STRESS GUE TANYA??? Hidup had so much pressure on me ya, pls yq Allah..",-0.8149320483207703,1.023844599723816
betul banget yang disalahin atasan mulu giliran diminta masukan pas meeting pada diem diem bae begitu aja terus sampe kiamat alasannya ga bakal didenger lah atau cape jadi paling speak up susah emang kalo hidup dijaman kapitalis,-0.6788705587387085,0.17123548686504364
"Kapan ya gw bisa hidup kayak gtu lg. Gw bisa diem, bisa berisik, bisa salah, bisa bener, bisa puitis, bisa cuek, pokoknya no judgement, ya ada sih tp ga parah lah. Gw udh yg cape bgt deh ama hidup knp org2 keren bgt then theres me????",-0.2784864604473114,-0.0676124170422554
"semoga kantor ku nanti punya access transum yg memadai ya allahh, AMINN!! gua tidak bisa hidup tanpa transum jirs.. malas bgt kalo harus bawa kendaraan karena pasti cape dijalan doang itu..",-0.30625399947166443,-0.10149569064378738
"Cape banget hidup ya Allah. Hidup cape, mati ga siap. Gw hrs gmn lagi... Udah ga ada tenaga buat jalanin ini semua..",-0.7928038239479065,-0.8085891604423523
Karena orang tua aku selalu ngelarang. Padahal itu kebahagiaan aku? Aku cape aku kadang mikir kenapa sih hidup aku banyak gak boleh nya? Padahal aku yang usaha dengan duit sendiri. Itu yang bikin aku cape aku juga lelah. Ada batasan nya,-0.417461633682251,-0.08569324016571045
"Kadang ya sedih... Di hidup aku yang aku bener bener bersyukur cuma ketemu Nicholas, Ni-ki sama Minho doang... Selebihnya aku hidup kaya ngambang aja... Aku cape sama hidup aku tapi gak ada yang ngerti, padahal aku manusia yang ada kapasitas batasannya..",-0.3730389475822449,-0.3185441493988037
cape banget hidup sendiri sunyi,-0.7040799260139465,-0.7588267922401428
